animal
golden-lion-tamarin
golden-mantella-frog
golden-headed-lion-tamarin
goliath-bird-eating-tarantula
grand-cayman-blue-iguana
grasshopper-sparrow
gray-catbird
gray-seal
gray-tree-frog
gray-wolf
greater-madagascar-hedgehog-tenrec
greater-rhea
green-anaconda
green-aracari
green-crested-basilisk
green-mantella
green-salamander
green-tree-python
green-winged-macaw
green-winged-teal
grevys-zebra
guam-kingfisher
guam-rail
guinea-pig
harbor-seal
hartmanns-mountain-zebra
hawk-headed-parrot
hellbender
homes-hinge-back-tortoise
hooded-crane
hooded-merganswer
horshoe-crab
impressed-tortoise
indigo-bunting
iranian-fat-tailed-gecko
japanese-giant-salamander
japanese-koi
king-cobra
king-vulture
komodo-dragon
kori-bustard
kunekune-pig
la-plata-three-banded-armadillo
lance-head-rattlesnake
land-hermit-crab
larger-malay-mouse-deer
lemur-leaf-frog
lesser-kudu
lesser-madagascar-hedgehog-tenrec
lion
loggerhead-shrike
long-tailed-chinchilla
long-tailed-salamander
madagascar-giant-day-gecko
magnolia-warbler
malagasy-giant-jumping-rat
maned-wolf
mangrove-snake
matamata-turtle
meerkat
mellers-chameloen
miniature-donkey
mummichog
naked-mole-rat
new-caledonian-gecko
north-american-porcupine
north-american-river-otter
north-island-brown-kiwi
northern-copperhead
northern-luzon-giant-cloud-rat
northern-mockingbird
northern-pine-snake
northern-pintail
northern-red-salamander
northern-shoveler
northern-snakehead-fish
northern-tree-shrew
norway-rat
orangutan
orchard-oriole
oriental-fire-bellied-toad
ossabaw-island-hog
ostrich
ovenbird
painted-river-terrapin
pale-headed-saki-monkey
pallas-cat
palm-warbler
panamanian-golden-frog
patagonian-mara
perdido-key-beach-mouse
persian-onager
philippine-crocodile
pink-toed-tarantula
plain-chachalaca
poison-frogs
prehensile-tailed-porcupine
prevosts-squirrel
przewalskis-horse
puff-adder
pumpkinseed
pygmy-slow-loris
radiated-tortoise
red-knot
red-panda
red-river-hog
red-ruffed-lemur
red-siskin
red-wolf
red-bellied-piranha
red-crested-cardinal
red-crowned-crane
red-eyed-vireo
red-footed-tortoise
red-fronted-lemur
red-rumped-agouti
red-winged-blackbird
redhead
rhinoceros-snake
ring-tailed-lemur
rock-cavy
rock-hyrax
rose-breasted-grosbeak
roseate-spoonbill
rosss-goose
ruby-throated-hummingbird
ruddy-duck
ruddy-quail-dove
ruddy-turnstone
rufous-collared-sparrow
rufous-crowned-sparrow
ruppells-griffon-vulture
sand-cat
sanderling
sandhill-crane
scarlet-ibis
scarlet-tanager
schmidts-red-tailed-monkey
scimitar-horned-oryx
screaming-hairy-armadillo
semipalmated-plover
semipalmated-sandpiper
short-billed-dowitcher
short-eared-elephant-shrew
siamang
silver-arowana
sinaloan-milksnake
sitatunga
sloth-bear
smallwoods-anole
smooth-sided-toad
song-sparrow
southern-cassowary
southern-lesser-galago
southern-swamp-sparrow
southern-tamandua
spider-tortoise
spiny-tailed-monitor
spotted-pond-turtle
striped-hermit-crab
striped-skunk
suckermouth-catfish
sunbittern
swainsons-thrush
tanagers
taylors-cantil
tennessee-warbler
tentacled-snake
tiger
timber-rattlesnake
timor-python
titi-monkey
tokay-gecko
tomato-frog
tomistoma
turkey
twig-catfish
two-toed-sloth
vietamese-mossy-frog
virginia-opossum
von-der-dekens-hornbill
western-lowland-gorilla
whites-tree-frog
white-cheeked-gibbon
white-eyed-vireo
white-naped-crane
white-nosed-coati
white-throated-sparrow
whooping-crane
wood-duck
wood-thrush
yellow-breasted-chat
yellow-rumped-warbler
yellow-spotted-amazon-river-turtle
